survival_outcome,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,total_score,vendor_id,data_source
Failed,3,1,1,1,3,1,2,2,2,1,2,1,3,3,1,27,MOCK_184,mock
Survived,3,2,2,3,2,3,3,3,2,3,2,3,3,3,3,40,MOCK_185,mock
Failed,3,1,3,2,3,1,1,3,1,3,2,2,1,3,2,31,MOCK_186,mock
Failed,1,1,2,2,2,2,2,2,2,3,1,1,3,1,1,26,MOCK_187,mock
Failed,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,23,MOCK_188,mock
Failed,2,1,1,1,1,3,2,1,1,2,2,1,3,2,3,26,MOCK_189,mock
Survived,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,44,MOCK_190,mock
Survived,3,2,2,3,1,3,3,2,3,3,2,3,3,2,3,38,MOCK_191,mock
Failed,1,2,2,2,2,1,3,2,1,3,1,3,3,3,3,32,MOCK_192,mock
Failed,1,1,2,1,1,1,1,2,2,2,2,2,2,2,3,25,MOCK_193,mock
Failed,2,1,2,2,2,1,1,2,1,2,1,2,1,1,1,22,MOCK_194,mock
Failed,1,3,1,1,1,1,2,1,2,1,3,1,2,1,1,22,MOCK_195,mock
Failed,3,2,3,1,3,2,2,1,2,1,1,2,2,3,2,30,MOCK_196,mock
Failed,3,2,3,3,3,1,1,2,3,1,1,1,1,1,3,29,MOCK_197,mock
Failed,1,1,2,1,3,1,1,1,1,3,1,2,2,1,3,24,MOCK_198,mock
Failed,2,1,2,3,2,2,1,1,1,2,2,1,3,1,1,25,MOCK_199,mock
Failed,2,1,3,2,1,2,3,1,1,1,2,1,1,3,1,25,MOCK_200,mock
